author_id;text;retweet_count;reply_count;like_count;quote_count;id;created_at
1168375986645360640;Finaliza nuestra primera jornada de aplicación de vacunas contra el COVID-19 en adultos mayores de 60 años en el municipio de Zacatepec.  Les esperamos el día de mañana en punto de las 08:00 hrs en la EGA y el IMSS Zacatepec.   #SembrandoCompromisosCosechandoRealidades https://t.co/8ct33u7aMf;1;1;3;0;1377114767014293504;2021-03-31T04:25:20.000Z
1924447327;@RRNoticiasqro Jajajajaja....que si dan para la vacuna no hay para los medios de comunicación, y eso sí que está cabrón.;0;0;0;0;1377113203809812486;2021-03-31T04:19:07.000Z
611996458;😍😍😍😍😍😍😍😍😍 Asi seran mis vacaciones #Vacaciones #Vacaciones2021 en la casa pues ya que todavia no me he vacunado vs #COVID19 asi que hay que hacerlo mejor en la casa verdad raza 😂😂😂😂😂😂😂😂😂😂 https://t.co/G1uyytYiSw;0;0;0;0;1377112593249132544;2021-03-31T04:16:42.000Z
1048707026908577794;El problema de la Pandemia COVID-19 en 🇲🇽 es que se proponen muchas cosas (tontas) de las cuales NADIE Mide ni Reporta el resultado. Ej.Nadie se ocupó de verificar cuánta gente se salvó usando “Tapetes Sanitizantes”, cuántos casos sospechosos hubo detectados con el 🌡 en la mano.;52;10;347;4;1377111253038948358;2021-03-31T04:11:22.000Z
110913230;🦠 Atención a mis amigas y amigos adultos mayores de #Mazatlán... A partir de mañana 31 de marzo les vacunan contra #Covid19. Quienes ya tengan folio pasan primero y después el resto de la población adulta. Hagámoslo en orden. https://t.co/PbxsUS7hPz;2;0;3;1;1377110594642321420;2021-03-31T04:08:45.000Z
2943088258;#COVID-19.  Este es el panorama de #COVID19 #Coronavirus del martes 30 de marzo del 2021 en Jalisco. Consulta más información en: https://t.co/O697Bes1G4  #ReporteCiudadanoNoticias. https://t.co/KWRAVl0LZY;0;0;2;0;1377109559257358343;2021-03-31T04:04:39.000Z
229178428;Pues mi madre ya recibió la primera dosis de la vacuna de @AstraZeneca en el WTC CDMX y bastante rápida y eficiente la atención.  De todas formas hay que seguir cuidándonos !!!;0;0;0;0;1377109540366295041;2021-03-31T04:04:34.000Z
80235839;@A_ausdenRuthen No, soy de León y estoy preocupada porque mis papás tuvieron Covid en enero, y siguen esperando a que llegue, se dice que con el arranque de campaña de Sheffield llegarán las vacunas como propaganda y alegando que todo es gracias a él y AMLO... Una verdadera bajeza..;0;0;0;0;1377108997661020168;2021-03-31T04:02:25.000Z
1245907696525758464;@terrible100 @breaks_svds818 Pero ya los vacunarón a los dos contra el covid ??.por la edad ya les toca.😂😂😂;0;0;1;0;1377108338714927105;2021-03-31T03:59:48.000Z
1275277620418973697;@_Teigol @OldBenK_ @latinus_us @vampipe No pendejo la vacunación esta a cargo del gobierno federal, hay servidores de la nación pidiendo el INE, hay guardia nacional y trabajadores de Sector Salud.;0;0;0;0;1377108269185912843;2021-03-31T03:59:31.000Z
115550303;Así va andar el covid19 en semana santa checando cuantas víctimas se lleva 😂😂😂😂 https://t.co/167z1BZtI2;0;0;2;0;1377108167818022912;2021-03-31T03:59:07.000Z
435120758;El COVID-19 no descansa ni toma vacaciones, mantengamos las medidas de prevención para evitar contagios entre nuestras personas adultas mayores.   Aquí les dejo el Decálogo de Salud para vacaciones seguras.        https://t.co/QEDFcGY9Cz #Tlaquepaque #CuidemonosJuntos https://t.co/0oorZEA47z;0;0;3;2;1377108030597124102;2021-03-31T03:58:34.000Z
203969848;🦠 _Hoy, Michoacán con 57 mil 142 contagios y 4 mil 980 muertos por Covid-19_ https://t.co/RPYbKtyUED  🗳️ _Morena prepararía el relevo de Raúl Morón_ https://t.co/ozecUCHqJY  🚔 _Inicia operaciones División de Investigaciones de SSP en Michoacán_ https://t.co/rn0OBOdRny;0;1;0;0;1377107876427096070;2021-03-31T03:57:57.000Z
203969848;💉 _Médicos se niegan a vacunar contra Covid-19 a abuelitos de Tacámbaro y Salvador Escalante_ https://t.co/pofR0XpgzI  📈 _Gobierno de AMLO, el más corrupto: México Elige_ https://t.co/YeJ3y6jYsh  📭 _Solo se denuncian 10 de cada 100 delitos: FGE_ https://t.co/1h4DUHcai2;0;1;0;0;1377107874887831554;2021-03-31T03:57:57.000Z
55604021;#Chiapas  *Este miércoles prosigue la jornada de vacunación contra COVID-19*  - En Comitán, Huehuetán, Mazatán, Palenque, Tuzantán, Villa Corzo y Villaflores https://t.co/UDiaKVJfYS;0;0;0;0;1377106755574853644;2021-03-31T03:53:30.000Z
352803631;Falsa alarma, no tengo covid;0;1;2;0;1377105859772211204;2021-03-31T03:49:57.000Z
